CommodityGroup,Commodity,Market,Variety,Grade,Model
Cereals,Bajra,BALLARI,Hybrid,Average,Jasma1.1.ETSv1
Cereals,Bajra,BASAVAKALYANA,Local,Average,Ashok1.1BATSv1
Cereals,Bajra,BENGALURU,Hybrid,Average,Ashok2.2.ETSv2
Cereals,Bajra,KALABURAGI,Local,Average,Ashok1.4ETSv4
Cereals,Bajra,KOPPAL,Hybrid,Average,Ashok1.4ETSv4
Cereals,Bajra,KOTTUR,Hybrid,Average,Jasma1.3.ETSv3
Cereals,Bajra,KUSTAGI,Hybrid,Average,Ashok1.1BATSv1
Cereals,Bajra,LINGASARGUR,Hybrid,Average,Ashok1.1BATSv1
Cereals,Bajra,RONA,Hybrid,Average,Jasma1.2.ETSv2
Cereals,Bajra,VIJAYAPURA,Hybrid,Average,Jasma1.3.ETSv3
Cereals,Jowar,ATHANI,Jowar ( White),Average,Ashok2.1.ETSv1
Cereals,Jowar,BALLARI,Jowar Hybrid,Average,Jasma1.4.ETSv4
Cereals,Jowar,BASAVAKALYANA,Hybrid,Average,Ashok.BaggedETS.BaggedModelv1
Cereals,Jowar,BASAVAKALYANA,Jowar ( White),Average,Ashok5.1.StructTSv1
Cereals,Jowar,BASAVAKALYANA,Jowar (Yellow),Average,Ashok5.1.StructTSv1
Cereals,Jowar,BELAGAVI,Jowar ( White),Average,Jasma5.1.BaggedModelv1
Cereals,Jowar,BENGALURU,Jowar ( White),Average,Ashok1.1BATSv1
Cereals,Jowar,BIDAR,Jowar ( White),Average,Ashok3.1ARFIMAV1
Cereals,Jowar,GADAG,Jowar ( White),Average,Ashok1.1BATSv1
Cereals,Jowar,KALABURAGI,Jowar ( White),Average,Jasma1.4.ETSv4
Cereals,Jowar,LAXMESHWAR,Jowar ( White),Average,Basic NN
Cereals,Jowar,RAICHUR,Jowar ( White),Average,Jasma1.2.ETSv2
Cereals,Jowar,RAICHUR,Jowar Hybrid,Average,Jasma1.2.ETSv2
Cereals,Jowar,SINDHANUR,Jowar Hybrid,Average,Ashok1.1BATSv1
Cereals,Jowar,VIJAYAPURA,Jowar ( White),Average,Jasma3.1.ARFIMAv1
Cereals,Maize,ARSIKERE,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,ATHANI,Hybrid/Local,Average,Jasma1.1.ETSv1
Cereals,Maize,BAGEPALLI,Other,Average,Ashok.BaggedETS.BaggedModelv1
Cereals,Maize,BALLARI,Local,Average,Jasma1.1.ETSv1
Cereals,Maize,BALLARI,Sweet Corn (For Biscuits),Average,Ashok5.1.StructTSv1
Cereals,Maize,BELUR,Hybrid/Local,Average,Jasma1.4.ETSv4
Cereals,Maize,BENGALURU,Hybrid/Local,Average,Ashok3.1ARFIMAV1
Cereals,Maize,BHADRAVATHI,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,CHALLAKERE,Yellow,Average,Jasma1.2.ETSv2
Cereals,Maize,CHIKKAMAGALURU,Local,Average,Jasma1.1.ETSv1
Cereals,Maize,CHITRADURGA,Local,Average,Ashok1.4ETSv4
Cereals,Maize,DAVANAGERE,Local,Average,Ashok1.1BATSv1
Cereals,Maize,DHARWAR,Local,Average,Jasma1.1.ETSv1
Cereals,Maize,DODDABALLAPUR,Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,GADAG,Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,GOKAK,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,GOWRIBIDNUR,Hybrid/Local,Average,Ashok1.4ETSv4
Cereals,Maize,GUNDLUPET,Local,Average,Ashok.NNFor
Cereals,Maize,HALIYALA,Hybrid/Local,Average,Jasma5.1.BaggedModelv1
Cereals,Maize,HARIHARA,Hybrid/Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,HASSAN,Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,HAVERI,Local,Medium,Jasma1.1.ETSv1
Cereals,Maize,HIREKERUR,Hybrid/Local,Average,Jasma1.4.ETSv4
Cereals,Maize,HOLENARASIPUR,Local,Average,Jasma5.1.BaggedModelv1
Cereals,Maize,HOOVINAHADAGALI,Yellow,Average,Ashok3.1.BaggedModelv1
Cereals,Maize,K.R.NAGAR,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,KADUR,Other,Average,Jasma1.1.ETSv1
Cereals,Maize,KALGHATGI,Local,Average,Ashok5.1.StructTSv1
Cereals,Maize,KOPPAL,Yellow,Average,Ashok1.4ETSv4
Cereals,Maize,KOTTUR,Hybrid/Local,Average,Jasma1.1.ETSv1
Cereals,Maize,KUDCHI,Hybrid/Local,Average,Jasma1.4.ETSv4
Cereals,Maize,KUSTAGI,Hybrid/Local,Average,Jasma1.3.ETSv3
Cereals,Maize,MADHUGIRI,Hybrid/Local,Average,Jasma1.2.ETSv2
Cereals,Maize,MUNDAGOD,Hybrid/Local,Average,Jasma1.1.ETSv1
Cereals,Maize,MUNDARGI,Yellow,Average,Jasma1.4.ETSv4
Cereals,Maize,MYSURU,Local,Average,Jasma1.4.ETSv4
Cereals,Maize,PERIYAPATNA,Hybrid/Local,Average,Jasma1.4.ETSv4
Cereals,Maize,RANIBENNUR,Local,Medium,Ashok1.1BATSv1
Cereals,Maize,SHIKARIPUR,Local,Medium,Ashok1.1BATSv1
Cereals,Maize,RONA,Hybrid/Local,Average,Jasma1.4.ETSv4
Cereals,Maize,SANKESHWAR,Hybrid/Local,Average,Ashok3.1.BaggedModelv1
Cereals,Maize,SANTHESARGUR,Local,Average,Basic NN
Cereals,Maize,SAVADATTI,Local,Average,Jasma1.1.ETSv1
Cereals,Maize,SHIVAMOGGA,Hybrid/Local,Average,Jasma1.3.ETSv3
Cereals,Maize,SOMWARPET,Local,Average,Jasma5.1.BaggedModelv1
Cereals,Maize,SORABHA,Local,Average,Jasma1.3.ETSv3
Cereals,Maize,TUMAKURU,Local,Average,Ashok2.2.ETSv2
Cereals,Maize,VIJAYAPURA,Hybrid/Local,Average,Ashok5.1.StructTSv1
Cereals,Navane,BALLARI,Navane Hybrid,Average,Ashok5.1.StructTSv1
Cereals,Navane,BENGALURU,Other,Average,Jasma2.1BATSv1
Cereals,Navane,KOPPAL,Navane Hybrid,Average,Jasma3.1.ARFIMAv1
Cereals,Navane,KUSTAGI,Navane Hybrid,Average,Jasma3.1.ARFIMAv1
Cereals,Paddy,BANGARPET,Paddy Fine Variety,Average,Jasma1.3.ETSv3
Cereals,Paddy,BELTHANGADI,Paddy,Average,Basic NN
Cereals,Paddy,BELUR,Paddy,Average,Ashok5.1.StructTSv1
Cereals,Paddy,CHIKKAMAGALURU,Paddy Fine Variety,Average,Jasma1.1.ETSv1
Cereals,Paddy,DAVANAGERE,Paddy Medium Variety,Average,Jasma1.1.ETSv1
Cereals,Paddy,GANGAVATI,I.R. 64,Average,Basic NN
Cereals,Paddy,GANGAVATI,Kaveri sona,Average,Ashok2.1.ETSv1
Cereals,Paddy,GANGAVATI,Sona Masuri New,Average,Ashok1.1BATSv1
Cereals,Paddy,GANGAVATI,Sona Masuri Old ,Average,Ashok1.1BATSv2
Cereals,Paddy,GONIKOPPAL,Paddy Medium Variety,Average,Basic NN
Cereals,Paddy,HALIYALA,Paddy Medium Variety,Average,Jasma5.1.BaggedModelv1
Cereals,Paddy,HASSAN,Paddy,Average,Basic NN
Cereals,Paddy,HOOVINAHADAGALI,Sanna Bhatta,Average,Jasma6.1.BaggedETSv1
Cereals,Paddy,K.R.NAGAR,Paddy,Average,Jasma5.1.BaggedModelv1
Cereals,Paddy,K.R.PET,Paddy Coarse Variety,Average,Basic NN
Cereals,Paddy,KARTAGI,Kaveri sona,Average,Ashok5.1.StructTSv1
Cereals,Paddy,KARTAGI,Sona Masuri New,Average,Ashok5.1.StructTSv1
Cereals,Paddy,KARTAGI,Sona Masuri Old ,Average,Ashok1.1BATSv1
Cereals,Paddy,LINGASARGUR,Paddy,Average,Ashok5.1.StructTSv1
Cereals,Paddy,MADDUR,Paddy,Average,Jasma1.1.ETSv1
Cereals,Paddy,MANGALURU,Paddy,Average,Jasma1.2.ETSv2
Cereals,Paddy,MUDIGERE,Paddy Medium Variety,Average,Ashok3.1ARFIMAV1
Cereals,Paddy,MYSURU,Paddy,Average,Ashok5.1.StructTSv1
Cereals,Paddy,NANJANGUD,Paddy Jyoti,Average,Jasma1.1.ETSv1
Cereals,Paddy,RAICHUR,Rajahamsa,Average,Jasma1.3.ETSv3
Cereals,Paddy,RAICHUR,Sona Mahsuri,Average,Ashok5.1.StructTSv1
Cereals,Paddy,SAKLESHPUR,Paddy,Average,Ashok1.4ETSv4
Cereals,Paddy,SANTHESARGUR,Paddy,Average,Jasma1.1.ETSv1
Cereals,Paddy,SHIGGAON,Paddy,Average,Ashok2.1.ETSv1
Cereals,Paddy,SIDDAPURA,Paddy,Average,Jasma6.1.BaggedETSv1
Cereals,Paddy,SINDHANUR,Sona Masuri New,Average,Ashok.BaggedETS.BaggedModelv1
Cereals,Paddy,SINDHANUR,Sona Masuri Old ,Average,Jasma1.3.ETSv3
Cereals,Paddy,SIRAGUPPA,Sona Masuri New,Average,Jasma6.1.BaggedETSv1
Cereals,Paddy,SIRAGUPPA,Sona Masuri Old ,Average,Jasma1.2.ETSv2
Cereals,Paddy,SORABHA,Paddy,Average,Jasma1.4.ETSv4
Cereals,Paddy,SRIRANGAPATNA,Paddy 1001,Average,Ashok2.1.ETSv1
Cereals,Paddy,T.NARSIPUR,Paddy,Average,Ashok2.1.ETSv1
Cereals,Paddy,TARIKERE,Paddy Dappa,Average,Jasma1.3.ETSv3
Cereals,Paddy,UDIPI,Paddy,Average,Jasma6.1.BaggedETSv1
Cereals,Ragi,ARSIKERE,Local,Average,Jasma6.1.BaggedETSv1
Cereals,Ragi,BENGALURU,Fine,Average,Ashok1.1BATSv1
Cereals,Ragi,CHINTAMANI,Local,Average,Jasma1.1.ETSv1
Cereals,Ragi,DAVANAGERE,Local,Average,Jasma1.4.ETSv4
Cereals,Ragi,GUBBI,Local,Average,Jasma5.1.BaggedModelv1
Cereals,Ragi,HASSAN,Other,Average,Jasma5.1.BaggedModelv1
Cereals,Ragi,HOLENARASIPUR,Local,Average,Jasma1.4.ETSv4
Cereals,Ragi,KADUR,Red,Average,Ashok5.1.StructTSv1
Cereals,Ragi,KOTTUR,Hybrid,Average,Jasma1.2.ETSv2
Cereals,Ragi,MYSURU,Local,Average,Ashok1.1BATSv1
Cereals,Ragi,NAGAMANGALA,Local,Average,Jasma5.1.BaggedModelv1
Cereals,Ragi,PERIYAPATNA,Local,Average,Jasma6.1.BaggedETSv1
Cereals,Ragi,SHIVAMOGGA,Red,Average,Jasma1.2.ETSv2
Cereals,Ragi,TUMAKURU,Local,Average,Ashok3.1.BaggedModelv1
Cereals,Rice,BANGARPET,Broken Rice,Average,Jasma5.1.BaggedModelv1
Cereals,Rice,BANGARPET,I. R. - 64,Average,Ashok.BaggedETS.BaggedModelv1
Cereals,Rice,BENGALURU,Medium,Average,Ashok1.4ETSv4
Cereals,Rice,BIDAR,Broken Rice,Average,Ashok1.4ETSv4
Cereals,Rice,BIDAR,CR 1009 (Coarse) Boiled,Average,Ashok1.4ETSv4
Cereals,Rice,CHINTAMANI,Broken Rice,Average,Ashok3.1ARFIMAV1
Cereals,Rice,CHINTAMANI,Hansa,Average,Jasma2.1BATSv1
Cereals,Rice,CHINTAMANI,Sona,Average,Ashok1.4ETSv4
Cereals,Rice,GANGAVATI,Other,Average,Jasma1.2.ETSv2
Cereals,Rice,KALABURAGI,Broken Rice,Average,Ashok1.4ETSv4
Cereals,Rice,KALABURAGI,Fine,Average,Ashok5.1.StructTSv1
Cereals,Rice,KOLAR,Fine,Average,Ashok3.1.BaggedModelv1
Cereals,Rice,MANGALURU,Fine,Average,Ashok2.2.ETSv2
Cereals,Rice,MANGALURU,IR-8,Average,Jasma1.2.ETSv2
Cereals,Rice,MANGALURU,Kattasambar,Average,Ashok.NNFor
Cereals,Rice,MYSURU,Broken Rice,Average,Ashok1.4ETSv4
Cereals,Rice,MYSURU,Fine,Average,Ashok5.1.StructTSv1
Cereals,Rice,SHIVAMOGGA,Coarse,Average,Jasma5.1.BaggedModelv1
Cereals,Rice,SHIVAMOGGA,Fine,Average,Jasma1.2.ETSv2
Cereals,Rice,SHIVAMOGGA,Medium,Average,Jasma1.2.ETSv2
Cereals,Sajje,MUNDARGI,Sajje,Average,Jasma1.4.ETSv4
Cereals,Wheat,BASAVAKALYANA,Mexican,Average,Jasma1.3.ETSv3
Cereals,Wheat,BASAVAKALYANA,Mill Wheat,Average,Jasma1.4.ETSv4
Cereals,Wheat,BENGALURU,Local,Average,Jasma1.2.ETSv2
Cereals,Wheat,BIDAR,Red,Average,Ashok5.1.StructTSv1
Cereals,Wheat,GADAG,White,Average,Jasma6.1.BaggedETSv1
Cereals,Wheat,KALABURAGI,Sharabathi,Average,Jasma5.1.BaggedModelv1
Cereals,Wheat,MYSURU,Local,Average,Ashok5.1.StructTSv1
Cereals,Wheat,SHIVAMOGGA,Medium,Average,Ashok2.2.ETSv2
Drugs & Narcotics,Arecanut,BANTWALA,Coca,Average,Jasma5.1.BaggedModelv1
Drugs & Narcotics,Arecanut,BANTWALA,New Variety,Average,Jasma1.2.ETSv2
Drugs & Narcotics,Arecanut,BANTWALA,Old Variety,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,BELTHANGADI,Coca,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,BELTHANGADI,New Variety,Average,Ashok.BaggedETS.BaggedETSv2
Drugs & Narcotics,Arecanut,BELTHANGADI,Old Variety,Average,Ashok1.4ETSv4
Drugs & Narcotics,Arecanut,CHANNAGIRI,Rashi,Average,Jasma1.4.ETSv4
Drugs & Narcotics,Arecanut,CHITRADURGA,Api,Average,Ashok2.2.ETSv2
Drugs & Narcotics,Arecanut,CHITRADURGA,Bette,Average,Ashok2.2.ETSv2
Drugs & Narcotics,Arecanut,CHITRADURGA,Kempugotu,Average,Jasma2.1BATSv1
Drugs & Narcotics,Arecanut,CHITRADURGA,Rashi,Average,Ashok3.1ARFIMAV1
Drugs & Narcotics,Arecanut,GONIKOPPAL,ARECANUT-HUSK,Average,Jasma1.1.ETSv1
Drugs & Narcotics,Arecanut,HONNAVAR,Chippu,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,HONNAVAR,Factory,Average,Ashok3.1ARFIMAV1
Drugs & Narcotics,Arecanut,HONNAVAR,Hale Chali,Average,Ashok3.1.BaggedModelv1
Drugs & Narcotics,Arecanut,HONNAVAR,Hosa Chali,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,HONNAVAR,Kole,Average,Jasma1.3.ETSv3
Drugs & Narcotics,Arecanut,KARKALA,Coca,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,KARKALA,New Variety,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,KARKALA,Old Variety,Average,Ashok2.2.ETSv2
Drugs & Narcotics,Arecanut,KUMTA,Chippu,Average,Jasma6.1.BaggedETSv1
Drugs & Narcotics,Arecanut,KUMTA,Coca,Average,Ashok3.1ARFIMAV1
Drugs & Narcotics,Arecanut,KUMTA,Factory,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,KUMTA,Hale Chali,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,KUMTA,Hosa Chali,Average,Ashok1.4ETSv4
Drugs & Narcotics,Arecanut,KUNDAPUR,Hale Chali,Average,Ashok2.2.ETSv2
Drugs & Narcotics,Arecanut,KUNDAPUR,Hosa Chali,Average,Ashok4.1.BaggedETSv1
Drugs & Narcotics,Arecanut,MANGALURU,Coca,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,MANGALURU,New Variety,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,MANGALURU,Old Variety,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,PUTTUR,Coca,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,PUTTUR,New Variety,Average,Jasma1.1.ETSv1
Drugs & Narcotics,Arecanut,PUTTUR,Old Variety,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,SAGAR,Bilegotu,Average,Jasma1.3.ETSv3
Drugs & Narcotics,Arecanut,SAGAR,Chali,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,SAGAR,Coca,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,SAGAR,Kempugotu,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,SAGAR,Rashi,Average,Ashok1.4ETSv4
Drugs & Narcotics,Arecanut,SAGAR,Sippegotu,Average,Ashok.BaggedETS.BaggedETSv2
Drugs & Narcotics,Arecanut,SHIVAMOGGA,Bette,Average,Jasma1.1.ETSv1
Drugs & Narcotics,Arecanut,SHIVAMOGGA,Gorabalu,Average,Jasma1.3.ETSv3
Drugs & Narcotics,Arecanut,SHIVAMOGGA,Rashi,Average,Jasma1.3.ETSv3
Drugs & Narcotics,Arecanut,SHIVAMOGGA,Saraku,Average,Jasma1.3.ETSv3
Drugs & Narcotics,Arecanut,SIDDAPURA,Bilegotu,Average,Ashok1.4ETSv4
Drugs & Narcotics,Arecanut,SIDDAPURA,Chali,Average,Jasma1.4.ETSv4
Drugs & Narcotics,Arecanut,SIDDAPURA,Coca,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,SIDDAPURA,Kempugotu,Average,Ashok1.4ETSv4
Drugs & Narcotics,Arecanut,SIDDAPURA,Rashi,Average,Jasma1.4.ETSv4
Drugs & Narcotics,Arecanut,SIDDAPURA,Tattibettee,Average,Jasma1.4.ETSv4
Drugs & Narcotics,Arecanut,SIRA,Other,Average,Ashok.NNFor
Drugs & Narcotics,Arecanut,SIRSI,Bette,Average,Ashok2.1.ETSv1
Drugs & Narcotics,Arecanut,SIRSI,Bilegotu,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,SIRSI,Coca,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,SIRSI,Hale Chali,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,SIRSI,Hosa Chali,Average,Jasma1.4.ETSv4
Drugs & Narcotics,Arecanut,SIRSI,Kempugotu,Average,Jasma1.3.ETSv3
Drugs & Narcotics,Arecanut,SIRSI,Rashi,Average,Jasma1.4.ETSv4
Drugs & Narcotics,Arecanut,SULYA,Coca,Average,Jasma6.1.BaggedETSv1
Drugs & Narcotics,Arecanut,SULYA,New Variety,Average,Ashok1.1BATSv1
Drugs & Narcotics,Arecanut,SULYA,Old Variety,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,TUMAKURU,Rashi,Average,Jasma1.1.ETSv1
Drugs & Narcotics,Arecanut,YELLAPURA,Api,Average,Ashok3.1.BaggedModelv1
Drugs & Narcotics,Arecanut,YELLAPURA,Bilegotu,Average,Ashok.NNFor
Drugs & Narcotics,Arecanut,YELLAPURA,Chali,Average,Ashok5.1.StructTSv1
Drugs & Narcotics,Arecanut,YELLAPURA,Coca,Average,Ashok.BaggedETS.BaggedETSv2
Drugs & Narcotics,Arecanut,YELLAPURA,Kempugotu,Average,Ashok3.1ARFIMAV1
Drugs & Narcotics,Arecanut,YELLAPURA,Rashi,Average,Jasma1.2.ETSv2
Drugs & Narcotics,Arecanut,YELLAPURA,Tattibettee,Average,Ashok3.1ARFIMAV1
Drugs & Narcotics,Betal Leaves,CHANNAPATNA,Local,Average,Jasma1.1.ETSv1
Dry Fruits,Cashewnut,MANGALURU,Local(Raw),Average,Ashok1.1BATSv1
Dry Fruits,Dry Grapes,BENGALURU,Dry Grapes,Average,Jasma3.1.ARFIMAv1
Fibre Crops,Cotton,ANNIGERI,BT,Average,Jasma1.3.ETSv3
Fibre Crops,Cotton,CHITRADURGA,D.C.H.,Average,Ashok2.1.ETSv1
Fibre Crops,Cotton,DAVANAGERE,Brahma,Average,Ashok1.4ETSv4
Fibre Crops,Cotton,GADAG,BT,Average,Ashok3.1ARFIMAV1
Fibre Crops,Cotton,HUBBALLI,BT,Average,Ashok1.4ETSv4
Fibre Crops,Cotton,KOTTUR,BT,Average,Ashok2.2.ETSv2
Fibre Crops,Cotton,RAICHUR,HYBRID-44,Average,Ashok1.4ETSv4
Fibre Crops,Cotton,SAVADATTI,BT,Average,Ashok4.1.BaggedETSv1
Fibre Crops,Cotton,SAVANUR,BT,Average,Jasma1.1.ETSv1
Fibre Crops,Cotton,SINDAGI,BANNI,Average,Ashok5.1.StructTSv1
Fibre Crops,Cotton,VIJAYAPURA,BANNI,Average,Jasma1.4.ETSv4
Flowers,Crysanthamum,CHICKBALLAPUR,Other,Average,Jasma1.3.ETSv3
Flowers,Marygold,CHICKBALLAPUR,Other,Average,Ashok3.1ARFIMAV1
Flowers,Rose,CHICKBALLAPUR,Other,Average,Ashok5.1.StructTSv1
Forest Products,Soapnut,TUMAKURU,Medium,Average,Ashok1.4ETSv4
Forest Products,Tamarind Fruit,BENGALURU,Tamarind Fruit,Average,Jasma1.1.ETSv1
Forest Products,Tamarind Fruit,MYSURU,Tamarind Fruit,Average,Jasma1.2.ETSv2
Forest Products,Tamarind Fruit,SHIVAMOGGA,Tamarind Fruit,Average,Jasma1.2.ETSv2
Forest Products,Tamarind Fruit,TUMAKURU,Tamarind Fruit,Average,Jasma1.2.ETSv2
Forest Products,Tamarind Seed,MYSURU,Tamarind Seed,Average,Ashok2.1.ETSv1
Forest Products,Tamarind Seed,TUMAKURU,Tamarind Seed,Average,Ashok1.4ETSv4
Fruits,Banana,BINNY MILL (F&V),Elakki Bale,Average,Jasma1.2.ETSv2
Fruits,Banana,BINNY MILL (F&V),Nauti Bale,Average,Ashok3.1ARFIMAV1
Fruits,Banana,BINNY MILL (F&V),Nendra Bale,Average,Jasma3.1.ARFIMAv1
Fruits,Banana,BINNY MILL (F&V),Pachha Bale,Average,Ashok3.1ARFIMAV1
Fruits,Banana,CHANNAPATNA,Elakki Bale,Average,Ashok5.1.StructTSv1
